Feature,Score
director_Gilbert Adler,0.2706978501105033
director_Gillian Armstrong,0.5936360293234753
director_Gillies MacKinnon,0.29638043864164504
director_Gina Prince-Bythewood,0.4915093045246855
director_Giuseppe Tornatore,0.42362830304783194
director_Glen Morgan,0.4435220808593556
director_Glenn Ficarra,0.028626723539655227
director_Glenn Gordon Caron,0.29500671239519705
director_Gonzalo López-Gallego,0.16897929771407028
director_Goran Dukic,0.3011037978617198
director_Gordon Chan,0.1355592616405776
director_Gore Verbinski,21.2178334173484
director_Gorô Miyazaki,0.04966589987814797
director_Graeme Clifford,0.58791445879278
director_Graham Baker,0.6146892300117758
director_Grant Heslov,0.033211299240796195
director_Greg Beeman,0.47217426503717425
director_Greg Berlanti,0.17482631584092134
director_Greg Coolidge,0.11982026405561984
director_Greg McLean,0.3856722949273243
director_Greg Mottola,0.0011446034783723063
director_Greg Tiernan,0.27159894424513886
director_Gregg Araki,0.29970752084256924
director_Gregg Champion,0.19613564668840394
director_Gregor Jordan,0.5919941156570279
director_Gregory Dark,0.20364064638588433
director_Gregory Hoblit,0.1756996234200249
director_Gregory Jacobs,0.006062197905555139
director_Gregory Nava,0.3653960293503053
director_Gregory Plotkin,0.20628525788333077
director_Gregory Poirier,0.18151814673946381
director_Gregory Widen,0.2163230699347881
director_Greta Gerwig,0.11319005411082574
